"id";"name";"description";"price";"categoryId";"productId";"typeId";"localDataSheet";"onlineDataSheet";"iconPath";"manufacturerId";"locationId";"amount";"amountType";"orderState";"packageId";"rating";"discourageOrder";"remark";"isSet";"dimensionTypeId"
144;"REA221M2CBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 160V 220uF 20% 5x11mm";0.0;3;11;12;"";"";"";13;19;2;0;0;53;0.0;0;"";0;10
145;"REA471M2CBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 160V 470uF 20% 5x11mm";0.0;3;11;12;"";"";"";13;25;6;0;0;53;0.0;0;"";0;10
146;"REA102M2CBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 160V 1000uF 20% 5x11mm";0.0;3;11;12;"";"";"";13;31;5;0;0;53;0.0;0;"";0;10
147;"AIAC-0805C-5N6K-T ";"Vaste smoorspoelen 5.6nH, 950mA 2.6Ohm Air Core/Coil +/-10% ";0.0;3;30;32;"";"http://www.mouser.com/ds/2/3/AIAC-0805C-218236.pdf";"";32;63;3;0;0;58;0.0;0;"";0;4
148;"AIMC-0805-4N7S-T ";"Fixed Inductors 4.7nH, 400mA Tol.=+/-.3nH ";0.0;3;30;32;"";"http://www.mouser.com/ds/2/3/AIMC-0805-37622.pdf";"";32;63;3;0;0;58;0.0;0;"";0;4
149;"PIC12F629-I/P ";"8-bit Microcontrollers - MCU 1.75KB 64 RAM 6 I/O Ind Temp PDIP8";0.0;2;2;2;"";"http://www.mouser.com/ds/2/268/41190G-890246.pdf";"42268235.jpg";6;278;1;0;0;63;0.0;0;"";0;9
150;"PIC18F452-I/P ";"8-bit Microcontrollers - MCU 32KB 1536 RAM 34I/O";6.0;2;2;2;"";"http://www.mouser.com/ds/2/268/39564c-79586.pdf";"";6;294;1;0;0;63;0.0;0;"";0;9
151;"DSPIC33EP128GP502-I/SO ";"
Digital Signal Processors & Controllers - DSP, DSC 128KB FL 16KB RAM 60MHz 28Pin
";2.0;2;2;6;"";"http://www.mouser.com/ds/2/268/70657C-36258.pdf";"";6;302;2;0;0;63;0.0;0;"";0;1
152;"NE555P";"
Timers & Support Products Precision
";0.0;2;38;44;"";"";"";7;311;9;0;0;68;0.0;0;"";0;9
153;"CA3140AEZ ";"Operational Amplifiers - Op Amps OPAMP 4.5MHZ LWBIAS 0.04NA ";2.0;2;3;3;"";"http://www.mouser.com/ds/2/465/ca3140-a-522565.pdf";"";46;280;3;0;0;83;0.0;0;"";0;9
154;"TS922IN";"Operational Amplifiers - Op Amps Dual Rail-to-Rail ";0.0;2;3;3;"";"http://www.mouser.com/ds/2/389/ts922-957337.pdf";"";8;288;1;0;0;83;4.0;1;"Replaced with TS922IDT";0;9
155;"OP27GPZ";"Precision Amplifiers LOW-NOISE PREC IC 2.8V/uS ";3.0;2;3;3;"";"http://www.mouser.com/ds/2/609/OP27-879626.pdf";"";47;296;8;0;0;83;0.0;0;"";0;9
156;"TL082CP";"Operational Amplifiers - Dual Op Amps JFET Input Low Noise ";0.0;2;3;3;"";"http://www.ti.com/lit/gpn/tl082";"";7;296;2;0;0;83;0.0;0;"";0;9
